Time(s),Ch4
0,-0.0449181
0.001,-0.0440598
0.002,-0.0434876
0.003,-0.0432015
0.004,-0.0432015
0.005,-0.044632
0.006,-0.0466347
0.007,-0.047493
0.008,-0.0480652
0.009,-0.0489235
0.01,-0.0500679
0.011,-0.050354
0.012,-0.0500679
0.013,-0.0486374
0.014,-0.0480652
0.015,-0.047493
0.016,-0.0472069
0.017,-0.0466347
0.018,-0.0463486
0.019,-0.0454903
0.02,-0.0452042
0.021,-0.0454903
0.022,-0.0452042
0.023,-0.0443459
0.024,-0.0432015
0.025,-0.0429154
0.026,-0.0429154
0.027,-0.042057
0.028,-0.0417709
0.029,-0.0429154
0.03,-0.0443459
0.031,-0.0449181
0.032,-0.0452042
0.033,-0.0460625
0.034,-0.047493
0.035,-0.0472069
0.036,-0.0466347
0.037,-0.0463486
0.038,-0.0457764
0.039,-0.044632
0.04,-0.0432015
0.041,-0.0432015
0.042,-0.0437737
0.043,-0.0437737
0.044,-0.0449181
0.045,-0.0460625
0.046,-0.0466347
0.047,-0.047493
0.048,-0.0477791
0.049,-0.0486374
0.05,-0.0489235
0.051,-0.0489235
0.052,-0.0492096
0.053,-0.0500679
0.054,-0.0512123
0.055,-0.0514984
0.056,-0.0514984
0.057,-0.0526428
0.058,-0.0537872
0.059,-0.0540733
0.06,-0.0546456
0.061,-0.0560761
0.062,-0.0580788
0.063,-0.0597954
0.064,-0.0609398
0.065,-0.0623703
0.066,-0.0638008
0.067,-0.0655174
0.068,-0.0666618
0.069,-0.0678063
0.07,-0.0675202
0.071,-0.0663758
0.072,-0.066948
0.073,-0.0686646
0.074,-0.0695229
0.075,-0.0703812
0.076,-0.0706673
0.077,-0.0715256
0.078,-0.0715256
0.079,-0.0712395
0.08,-0.0706673
0.081,-0.0706673
0.082,-0.0720978
0.083,-0.0723839
0.084,-0.0715256
0.085,-0.0715256
0.086,-0.0718117
0.087,-0.0715256
0.088,-0.07267
0.089,-0.0729561
0.09,-0.0718117
0.091,-0.0715256
0.092,-0.0709534
0.093,-0.0706673
0.094,-0.0715256
0.095,-0.0712395
0.096,-0.0706673
0.097,-0.0695229
0.098,-0.0689507
0.099,-0.0675202
0.1,-0.0672341
0.101,-0.0678063
0.102,-0.0678063
0.103,-0.0680924
0.104,-0.0686646
0.105,-0.0686646
0.106,-0.0680924
0.107,-0.0692368
0.108,-0.0706673
0.109,-0.0715256
0.11,-0.07267
0.111,-0.0732422
0.112,-0.0743866
0.113,-0.075531
0.114,-0.0766754
0.115,-0.0769615
0.116,-0.0772476
0.117,-0.0775337
0.118,-0.0778198
0.119,-0.0778198
0.12,-0.0775337
0.121,-0.0772476
0.122,-0.0763893
0.123,-0.0758171
0.124,-0.0761032
0.125,-0.0766754
0.126,-0.0772476
0.127,-0.0761032
0.128,-0.0738144
0.129,-0.0723839
0.13,-0.0709534
0.131,-0.0700951
0.132,-0.0700951
0.133,-0.069809
0.134,-0.069809
0.135,-0.0683785
0.136,-0.0666618
0.137,-0.0658035
0.138,-0.0649452
0.139,-0.0649452
0.14,-0.0658035
0.141,-0.0658035
0.142,-0.0632286
0.143,-0.0617981
0.144,-0.0629425
0.145,-0.0660896
0.146,-0.0678063
0.147,-0.0683785
0.148,-0.0695229
0.149,-0.0700951
0.15,-0.0706673
0.151,-0.0715256
0.152,-0.0729561
0.153,-0.0741005
0.154,-0.0732422
0.155,-0.0720978
0.156,-0.0709534
0.157,-0.069809
0.158,-0.0689507
0.159,-0.0695229
0.16,-0.0695229
0.161,-0.0689507
0.162,-0.0675202
0.163,-0.066948
0.164,-0.066948
0.165,-0.0660896
0.166,-0.0660896
0.167,-0.0649452
0.168,-0.0638008
0.169,-0.0632286
0.17,-0.0635147
0.171,-0.0649452
0.172,-0.0663758
0.173,-0.0663758
0.174,-0.0660896
0.175,-0.0646591
0.176,-0.0626564
0.177,-0.0635147
0.178,-0.064373
0.179,-0.064373
0.18,-0.064373
0.181,-0.064373
0.182,-0.0646591
0.183,-0.0652313
0.184,-0.0666618
0.185,-0.0663758
0.186,-0.0652313
0.187,-0.0638008
0.188,-0.0620842
0.189,-0.0606537
0.19,-0.0606537
0.191,-0.061512
0.192,-0.0629425
0.193,-0.0652313
0.194,-0.0655174
0.195,-0.0652313
0.196,-0.0660896
0.197,-0.0666618
0.198,-0.0678063
0.199,-0.069809
0.2,-0.0720978
0.201,-0.0720978
0.202,-0.0709534
0.203,-0.0700951
0.204,-0.0700951
0.205,-0.0700951
0.206,-0.069809
0.207,-0.0692368
0.208,-0.0689507
0.209,-0.0678063
0.21,-0.0652313
0.211,-0.0638008
0.212,-0.0629425
0.213,-0.0617981
0.214,-0.0617981
0.215,-0.0612259
0.216,-0.0597954
0.217,-0.0580788
0.218,-0.0575066
0.219,-0.0577927
0.22,-0.0583649
0.221,-0.0577927
0.222,-0.0572205
0.223,-0.0575066
0.224,-0.0583649
0.225,-0.0583649
0.226,-0.0589371
0.227,-0.0603676
0.228,-0.0612259
0.229,-0.0617981
0.23,-0.0620842
0.231,-0.0606537
0.232,-0.0600815
0.233,-0.0600815
0.234,-0.0597954
0.235,-0.0612259
0.236,-0.0632286
0.237,-0.0640869
0.238,-0.0646591
0.239,-0.0649452
0.24,-0.064373
0.241,-0.0646591
0.242,-0.0649452
0.243,-0.064373
0.244,-0.0655174
0.245,-0.0663758
0.246,-0.0675202
0.247,-0.0689507
0.248,-0.0703812
0.249,-0.0706673
0.25,-0.0700951
0.251,-0.0695229
0.252,-0.0675202
0.253,-0.0640869
0.254,-0.0603676
0.255,-0.0580788
0.256,-0.0560761
0.257,-0.0535011
0.258,-0.0509262
0.259,-0.0506401
0.26,-0.050354
0.261,-0.0486374
0.262,-0.0460625
0.263,-0.0432015
0.264,-0.0406265
0.265,-0.0383377
0.266,-0.0371933
0.267,-0.0357628
0.268,-0.033474
0.269,-0.0323296
0.27,-0.0326157
0.271,-0.0329018
0.272,-0.0326157
0.273,-0.0320435
0.274,-0.0320435
0.275,-0.0317574
0.276,-0.0311852
0.277,-0.0311852
0.278,-0.0317574
0.279,-0.033474
0.28,-0.036335
0.281,-0.0383377
0.282,-0.0409126
0.283,-0.0426293
0.284,-0.0440598
0.285,-0.0452042
0.286,-0.0454903
0.287,-0.0466347
0.288,-0.0483513
0.289,-0.0483513
0.29,-0.0489235
0.291,-0.0500679
0.292,-0.0509262
0.293,-0.0500679
0.294,-0.0477791
0.295,-0.0452042
0.296,-0.0432015
0.297,-0.0397682
0.298,-0.0360489
0.299,-0.0323296
0.3,-0.0283241
0.301,-0.0246048
0.302,-0.0208855
0.303,-0.0171661
0.304,-0.0134468
0.305,-0.0102997
0.306,-0.0074387
0.307,-0.005722
0.308,-0.0042915
0.309,-0.0031471
0.31,-0.002861
0.311,-0.0034332
0.312,-0.0048637
0.313,-0.0051498
0.314,-0.0048637
0.315,-0.0054359
0.316,-0.0060081
0.317,-0.0080109
0.318,-0.011158
0.319,-0.0134468
0.32,-0.0154495
0.321,-0.0171661
0.322,-0.0183106
0.323,-0.0203133
0.324,-0.0234604
0.325,-0.025177
0.326,-0.0260353
0.327,-0.028038
0.328,-0.0317574
0.329,-0.0354767
0.33,-0.0397682
0.331,-0.0440598
0.332,-0.0477791
0.333,-0.0512123
0.334,-0.053215
0.335,-0.0549317
0.336,-0.0572205
0.337,-0.0603676
0.338,-0.0623703
0.339,-0.0640869
0.34,-0.0660896
0.341,-0.0666618
0.342,-0.0675202
0.343,-0.0689507
0.344,-0.0692368
0.345,-0.0692368
0.346,-0.0678063
0.347,-0.0658035
0.348,-0.0638008
0.349,-0.0620842
0.35,-0.0606537
0.351,-0.0595093
0.352,-0.0589371
0.353,-0.0566483
0.354,-0.053215
0.355,-0.0509262
0.356,-0.0509262
0.357,-0.0500679
0.358,-0.0500679
0.359,-0.0500679
0.36,-0.0512123
0.361,-0.0523567
0.362,-0.0520706
0.363,-0.0517845
0.364,-0.0523567
0.365,-0.0540733
0.366,-0.0549317
0.367,-0.0555039
0.368,-0.0549317
0.369,-0.0537872
0.37,-0.0535011
0.371,-0.0540733
0.372,-0.0537872
0.373,-0.0520706
0.374,-0.0506401
0.375,-0.0494957
0.376,-0.047493
0.377,-0.0449181
0.378,-0.0429154
0.379,-0.0426293
0.38,-0.0440598
0.381,-0.0443459
0.382,-0.0434876
0.383,-0.0426293
0.384,-0.0426293
0.385,-0.0406265
0.386,-0.0357628
0.387,-0.0288963
0.388,-0.0203133
0.389,-0.0117302
0.39,-0.0017166
0.391,0.0100136
0.392,0.0234604
0.393,0.0389099
0.394,0.0555039
0.395,0.0743866
0.396,0.0938416
0.397,0.1135826
0.398,0.1327515
